# source, target, label, movie_id, weight
32,56,66821,316,1
32,59,66820,316,1
32,35,66805,316,1
33,36,67092,316,1
33,35,67081,316,1
33,41,67076,316,1
33,46,67088,316,1
33,49,67085,316,1
34,35,66753,316,3
34,69,66751,316,1
35,39,66928,316,1
35,40,66927,316,1
35,42,66740,316,1
35,43,66980,316,1
35,46,67079,316,1
35,49,67078,316,1
35,50,66913,316,1
35,51,66891,316,2
35,52,66811,316,1
35,53,66808,316,1
35,54,66809,316,1
35,55,66810,316,1
35,56,66813,316,1
35,58,66957,316,1
35,59,66812,316,1
35,61,67021,316,2
35,63,67066,316,2
35,65,66797,316,1
35,66,66923,316,1
35,68,67022,316,2
35,70,66742,316,1
35,71,66744,316,1
35,73,66931,316,1
35,75,66784,316,1
35,77,66698,316,1
35,80,66955,316,1
35,86,66890,316,1
35,87,67107,316,1
35,88,66929,316,1
35,89,66958,316,2
35,90,66768,316,1
35,91,67064,316,1
35,92,66972,316,1
35,93,67065,316,1
35,36,67111,316,1
35,37,67024,316,1
35,41,66737,316,17
35,44,66756,316,1
35,45,67007,316,1
35,47,67070,316,2
35,48,66865,316,9
35,60,67096,316,1
35,62,66702,316,9
35,64,66760,316,2
35,67,66922,316,2
35,69,66752,316,1
35,72,67004,316,1
35,74,66926,316,1
35,76,67015,316,1
35,78,67061,316,1
35,79,67044,316,1
35,81,67013,316,1
35,82,66866,316,3
35,83,66738,316,1
35,84,66917,316,2
35,85,66854,316,3
36,41,67077,316,1
36,46,67089,316,1
36,49,67086,316,1
37,41,66721,316,1
38,64,66759,316,1
39,41,66944,316,1
39,73,66942,316,1
39,88,66940,316,1
39,40,66934,316,1
40,41,66939,316,1
40,73,66937,316,1
40,88,66935,316,1
41,42,66741,316,1
41,46,67074,316,1
41,48,67104,316,1
41,49,67073,316,1
41,52,66832,316,1
41,53,66829,316,1
41,54,66830,316,1
41,55,66831,316,1
41,56,66834,316,1
41,58,66964,316,1
41,59,66833,316,1
41,71,66747,316,1
41,83,66736,316,1
41,87,67105,316,1
41,89,66965,316,2
41,92,66973,316,1
41,47,67099,316,1
41,60,67095,316,1
41,63,67057,316,1
41,64,67058,316,1
41,70,66745,316,2
41,73,66953,316,1
41,80,66960,316,1
41,88,66948,316,1
41,90,66774,316,1
45,48,67006,316,1
46,49,67083,316,1
47,48,67101,316,1
47,87,67102,316,1
47,60,67094,316,1
47,62,67019,316,1
47,63,67068,316,1
48,51,66897,316,1
48,82,66863,316,5
48,86,66896,316,1
48,87,67108,316,1
48,57,67038,316,1
48,60,67097,316,1
48,84,66918,316,1
48,85,66856,316,3
50,84,66915,316,1
51,82,66906,316,1
51,84,66909,316,1
51,85,66884,316,1
51,86,66912,316,1
52,56,66848,316,1
52,59,66847,316,1
52,53,66837,316,1
52,54,66841,316,1
52,55,66844,316,1
53,54,66835,316,1
53,55,66836,316,1
53,56,66839,316,1
53,59,66838,316,1
54,55,66840,316,1
54,56,66843,316,1
54,59,66842,316,1
55,56,66846,316,1
55,59,66845,316,1
56,59,66849,316,1
58,89,66967,316,1
58,80,66961,316,1
60,87,67098,316,1
62,77,66697,316,3
63,64,67056,316,1
63,93,67067,316,1
64,78,67059,316,1
